Model,Dice Loss,IoU,Precision,Recall,F1-Score
Baseline,0.161667628264105,0.793842433347694,0.8924236379718692,0.8632616442500705,0.8697916909830404
LoRA Rank 4,0.11193024719486365,0.8626195821860755,0.936504872214505,0.8962525323192932,0.9136114569297642
