Model,Dice Loss,IoU,Precision,Recall,F1-Score
Baseline,0.1514715201951362,0.7909995776827674,0.8861034502165235,0.862437520389081,0.8685041046832354
LoRA Rank 256,0.09773240847563422,0.8664028054556331,0.933097921156163,0.906012891629354,0.9163449480563739
